Company Name	Statement
JOHN GRIMES PARTNERSHIP	 With around 30 full time employees, we have a strong focus on quality and value in everything we do. 
Leipzig International School Ev	 Information and contribution at http://typo3.org/ Leipzig International School: About LIS [if lte IE 9]> <link rel="stylesheet" type="text/css" href="fileadmin/sys/css/custom/blessc-blessed1.css" media="all"> <link rel="stylesheet" type="text/css" href="fileadmin/sys/css/custom/blessc.css" media="all"> <link rel="stylesheet" type="text/css" href="fileadmin/sys/css/custom/ieOverwrites.css" media="all"> <![endif] LEIPZIG INTERNATIONAL SCHOOL Meta menu Parent Portal Moodle & Britannica DE DE About LIS Facts about LIS Mission, Principles & Values Governance One School - Two Sites LIS School Library LIS Parent Community Parent Involvement Elected Parent Representatives Leipzig International Choir Job Opportunities All Current Jobs Speculative Staff Directory LIS: A brief History Accreditation Catering School Magazine Field trips Contact us School Sections Primary School Curriculum Assessment The School Day Citizenship Hort After School Activites Primary School House system Secondary School Structure and Programmes Grades 6-8 Grades 9-10 Grades 11-12 Extra-Curricular Activities Secondary School Student Support Services Learning Support Counselling Medical Child Welfare & Protection Student councils Playground buddies Peer mediation Kindergarten News What we provide Our Concept Nursery Programme 1-3 years Early Years Programmes 3-6 years Our Community Admissions Application Procedure Online application Login Register Fees 2016/17 Fees 2017/18 Enrolment figures Living in Leipzig Our City Moving to Leipzig Getting Around Leisure and Culture News & Calendar News Calendar TYPO3SEARCH_begin view the main header image if is layout = 0, startpage = 1 About Leipzig International School for click dummy Primary School: Wednesday, 05 April - Deadline for returning applications for after school activities in term 3 More Information Primary School: Monday 13 March - Deadline for Spring Holiday Hort registration More Information Friday 03 March: Deadline for returning applications for reduced fees school year 2017/18 More Information Parent Portal: Entering Permissions and Making Changes of Contact Information More Information 2 LIS locations = 855 enrolled+ 180 employed+ 9400 m 2 fenced outside area From the Head of School Founded in 1992 for a tiny group of expatriate children, Leipzig International School now welcomes more than 850 students to a learning community with strong local roots, attracting many German as well as international families. 
JACKSON SUMMER & ASSOCIATION	 Current President, Wayne Sumner, started JSA with just 1 other employee and focused on Police Professional in North Carolina. 
EDMONTON PUBLIC LIBRARY STANLEY A MILNER BRANCH	 We’ve got over 600 passionate people working to unite our vibrant community. 
REGINA PUBLIC LIBRARY	 Submit Feedback END OUTPUT from 'core/modules/system/templates/field.html.twig' END OUTPUT from 'core/modules/block/templates/block.html.twig' END OUTPUT from 'core/modules/system/templates/region.html.twig' THEME DEBUG THEME HOOK: 'region' FILE NAME SUGGESTIONS:  region--footer-4.html.twig x region.html.twig BEGIN OUTPUT from 'core/modules/system/templates/region.html.twig' THEME DEBUG THEME HOOK: 'block' FILE NAME SUGGESTIONS:  block--views-block--employment-page-view-block-1.html.twig  block--views-block--employment-page-view-block-1.html.twig  block--views-block.html.twig  block--views.html.twig x block.html.twig BEGIN OUTPUT from 'core/modules/block/templates/block.html.twig' Careers THEME DEBUG THEME HOOK: 'container' BEGIN OUTPUT from 'core/modules/system/templates/container.html.twig' THEME DEBUG THEME HOOK: 'views_view' BEGIN OUTPUT from 'core/modules/views/templates/views-view.html.twig' THEME DEBUG THEME HOOK: 'views_view_list' BEGIN OUTPUT from 'core/modules/views/templates/views-view-list.html.twig' THEME DEBUG THEME HOOK: 'views_view_fields' BEGIN OUTPUT from 'core/modules/views/templates/views-view-fields.html.twig' THEME DEBUG THEME HOOK: 'views_view_field' BEGIN OUTPUT from 'core/modules/views/templates/views-view-field.html.twig' Current Opportunities END OUTPUT from 'core/modules/views/templates/views-view-field.html.twig' END OUTPUT from 'core/modules/views/templates/views-view-fields.html.twig' END OUTPUT from 'core/modules/views/templates/views-view-list.html.twig' END OUTPUT from 'core/modules/views/templates/views-view.html.twig' END OUTPUT from 'core/modules/system/templates/container.html.twig' END OUTPUT from 'core/modules/block/templates/block.html.twig' END OUTPUT from 'core/modules/system/templates/region.html.twig' THEME DEBUG THEME HOOK: 'region' FILE NAME SUGGESTIONS:  region--footer-social.html.twig x region.html.twig BEGIN OUTPUT from 'core/modules/system/templates/region.html.twig' THEME DEBUG THEME HOOK: 'block' FILE NAME SUGGESTIONS:  block--rplsocialfootersocialicons.html.twig  block--rpl-footer-social-icons.html.twig  block--rpl-social.html.twig x block.html.twig BEGIN OUTPUT from 'core/modules/block/templates/block.html.twig' END OUTPUT from 'core/modules/block/templates/block.html.twig' END OUTPUT from 'core/modules/system/templates/region.html.twig' THEME DEBUG THEME HOOK: 'region' FILE NAME SUGGESTIONS:  region--footer-links.html.twig x region.html.twig BEGIN OUTPUT from 'core/modules/system/templates/region.html.twig' THEME DEBUG THEME HOOK: 'block' FILE NAME SUGGESTIONS:  block--views-block--footer-links-view-block-1.html.twig  block--views-block--footer-links-view-block-1.html.twig  block--views-block.html.twig  block--views.html.twig x block.html.twig BEGIN OUTPUT from 'core/modules/block/templates/block.html.twig' THEME DEBUG THEME HOOK: 'container' BEGIN OUTPUT from 'core/modules/system/templates/container.html.twig' THEME DEBUG THEME HOOK: 'views_view' BEGIN OUTPUT from 'core/modules/views/templates/views-view.html.twig' THEME DEBUG THEME HOOK: 'views_view_list' BEGIN OUTPUT from 'core/modules/views/templates/views-view-list.html.twig' THEME DEBUG THEME HOOK: 'views_view_fields' BEGIN OUTPUT from 'core/modules/views/templates/views-view-fields.html.twig' THEME DEBUG THEME HOOK: 'views_view_field' BEGIN OUTPUT from 'core/modules/views/templates/views-view-field.html.twig' Privacy Statement END OUTPUT from 'core/modules/views/templates/views-view-field.html.twig' END OUTPUT from 'core/modules/views/templates/views-view-fields.html.twig' THEME DEBUG THEME HOOK: 'views_view_fields' BEGIN OUTPUT from 'core/modules/views/templates/views-view-fields.html.twig' THEME DEBUG THEME HOOK: 'views_view_field' BEGIN OUTPUT from 'core/modules/views/templates/views-view-field.html.twig' Program and App Statuses END OUTPUT from 'core/modules/views/templates/views-view-field.html.twig' END OUTPUT from 'core/modules/views/templates/views-view-fields.html.twig' END OUTPUT from 'core/modules/views
OSCO INDUSTRIES INC	 April 25-27, 2017 Wisconsin Center Milwaukee, WI Booth 450 We have plant openings! Come join the team To apply for a job at Osco 1 Register for employment at Community Action. 
EDSAL MANUFACTURING	 We have 1,500 full time employees standing ready to service your requirements no matter how large they may be. 
IBEW LOCAL UNION 180-RENEWAL	 Unionized Scientists March in Protest of Attacks on Science and Jobs We Need Tax Reform That Works for Working People Joe Arpaio's Infamous Arizona Tent City Closing The Plan Behind a Chicago Project to Lift Up Working People 100 Days into the 115th Congress, We Examine How They've Spent Their Time Register for Webinar on Union Support for Pregnant and Breastfeeding Workers Congress Should Keep Promises to Mine Workers 98,000 Jobs Added to the Economy in March, Unemployment Is 4.5% Two Strangers and a Lifesaving Act of IBEW Brotherhood Slideshow Image 1 Caption Slideshow 1 Subcation goes here Representing Napa & Solano County 720-B Technology Way, Napa, CA 94558, 707 251-9180 Members must login upper right to access newsletters & meetings . 
TRAVEL NURSE ACROSS AMERICA LLC	 Start earning paid sick leave from your first shift worked, and use it after 90 days of employment with us. 
LIUNA LOCAL 1059 TRAINING	 Working for more than 240 different employers, our 3,000 members include over 2,100 construction and 880 maintenance, light manufacturing and security employees. 
Toss GmbH & Co. KG	 A workforce of around 170 is employed at the two sites. 
BEVERLYS FABRICS	 doctype html [if lt IE 7]><html class="no-js lt-ie9 lt-ie8 lt-ie7" lang="en"> <![endif] [if IE 7]><html class="no-js lt-ie9 lt-ie8" lang="en"> <![endif] [if IE 8]><html class="no-js lt-ie9" lang="en"> <![endif] [if IE 9 ]><html class="ie9 no-js"> <![endif] [if gt IE 9|!IE]><! <![endif] Basic page needs ================================================== Title and description ================================================== Careers - Beverly Fabrics Product meta ================================================== Helpers ================================================== Ajaxify Cart Plugin ================================================== CSS ================================================== Header hook for plugins ================================================== [if lt IE 9]> <script src="//cdnjs.cloudflare.com/ajax/libs/html5shiv/3.7.2/html5shiv.min.js" type="text/javascript"> <script src="//cdn.shopify.com/s/files/1/0665/3273/t/9/assets/respond.min.js?14628648523015212743" type="text/javascript"> <link href="//cdn.shopify.com/s/files/1/0665/3273/t/9/assets/respond-proxy.html" id="respond-proxy" rel="respond-proxy" /> <link href="//beverlys.com/search?q=82303b94d9997a0a74c3cc4688815c74" id="respond-redirect" rel="respond-redirect" /> <script src="//beverlys.com/search?q=82303b94d9997a0a74c3cc4688815c74" type="text/javascript"> <![endif] [if lte IE 9 ]><script src="//cdn.shopify.com/s/files/1/0665/3273/t/9/assets/match-media.min.js?14628648523015212743" type="text/javascript"><![endif] Infinite scroll ========== iFrame resizer Store Locations Account Sign in Create an Account Search Cart 0 Search Coupons Mailer How To Projects Online Specials fabric bali pops bali crackers dot pops thread Coupons Mailer How To Projects Online Specials fabric bali pops bali crackers dot pops thread Cart 0 Careers Discover employment opportunities with Beverly Fabrics Family owned and operated Our corporate goal is "to help our customers meet their creative needs." Since 1968, Beverly's Fabric & Crafts has been an industry leader in crafts, fabrics, home d cor and more. 
Guardian Project Management Ltd.	 DOCTYPE html SiteScope Social Care & Social Work Jobs | Community Care jobs | Guardian Jobs [if lt IE 10]> <link rel="stylesheet" href="//jobs.theguardian.com/assets/dist/css/css-columns.css;v=d73e4cd52fe177a7de02d32cb1d065d6" type="text/css"> <![endif] [if lte IE 8]> <script src="//jobs.theguardian.com/assets/dist/js/html5shiv.js;v=57b8bbbbba9e995322b6283c06b8abd1" type="text/javascript"> .container { width: 1180px; max-width: 1180px; } <![endif] [if IE 7 ]> .grid-item { behavior: url//jobs.theguardian.com/assets/dist/js/boxsizing.htc;v=5914822d787c46f19fd9491de476818a; zoom: 1; } <![endif] Madgex Tracking Google Verification Begin: Madgex Google Tracking Main End: Madgex Google Tracking Main Start: Madgex session confirmation End: Madgex session confirmation Ophan::Begin Ophan::End Begin: Madgex Google Tracking End End: Madgex Google Tracking End hotjar script Start Visual Website Optimizer Asynchronous Code End Visual Website Optimizer Asynchronous Code Google Tag Manager End Google Tag Manager Skip to job results Skip to refine results --> sign in your shortlist your job alerts home find a job get job alerts search recruiters careers advice find a course recruiter site theguardian.com Social Care & Social Work Jobs Browse Search Refine results Email Keyword search Keywords Refine your search Industry Social care Remove selection Adult care 251 Children 237 Counselling 35 Criminal justice 61 Elderly care 82 Family support 128 Health 222 Learning difficulties 274 Mental health 291 Physical disabilities 116 Refugee services 9 Substance misuse 45 Youth 192 Job function Administration 38 Consultant 15 Customer service 17 Finance 10 HR & training 15 IT 5 Legal 21 Marketing & PR 23 Sales 7 Secretarial 3 Job level Entry level 14 Graduate 14 Experienced non manager 428 Management 152 Senior executive 72 Location England 790 South East England 396 London Greater 270 East of England 49 South West England 50 North East England 24 North West England 148 Yorkshire and the Humber 84 East Midlands Region 33 West Midlands Region 84 Wales 19 Scotland 11 Nationwide 13 Homeworking 7 Europe 821 More… Salary Up to  10,000 165  10,000 -  15,000 189  15,000 -  20,000 257  20,000 -  25,000 159  25,000 -  30,000 145  30,000 -  40,000 201  40,000 -  50,000 134  50,000 -  60,000 66  60,000 -  80,000 42  80,000 -  100,000 28 Over  100,000 11 Hours Full time 696 Part time 136 Contract Permanent 641 Temp 80 Contract 110 Job share 1 Listing type Job vacancy 825 Course 2 Graduate scheme 3 Internship 2 Education level GCSE/O level/GNVQ/Standard grades 12 A levels/Advanced GNVQ 4 BTEC/City and guilds/Diploma/ 14 HND/HNC 2 Undergraduate degree or equivalent 64 Postgraduate degree Masters or higher 7 Postgraduate degree senior business/technical 4 Phd/Doctorate 1 Recruiter type Direct employer 626 Recruitment consultant 201 Job Title Account Manager 1 Sign up for job alerts Get new jobs for this search by email  Terms and Conditions  Did you mean ? Email jobs Email me jobs like these Did you mean ? Create job alert By continuing you accept our Terms and Conditions Found 832 jobs Search for the latest jobs in the social care sector on Guardian Jobs. 
PBT INSURANCE TECHNOLOGY	 PBT also offers health insurance for employers with 51 or more eligible employees. 
FLORIDA UROLOGY PARTNERS	 Our medical group also has more than 100 patient focused employees. 
Estes Builders	 Today we have 10 full-time employees, a stable of loyal subcontractors and a track record of more than 400 completed homes. 
NATIONAL ENGRAVERS INC	 At that point, the business had 125 customers and 1 employee, the owner who answered the phones, made the product, handled shipping, washed the windows, and swept the floors. 
NEAL SYSTEMS INC	 NSI’s team of 34 dedicated employees today provides a full range of products, product integration, and field services spanning instrumentation, control and data acquisition systems, wireless networks, industrial Ethernet networking technology, and security systems to meet customer application needs across a broad range of industries in the mid-Atlantic and northeast. 
PROGENITOR CELL THERAPY	 end widget-span end widget-span end row end row-wrapper end widget-span end row end row-wrapper What should I look for in a critical development and manufacturing partner? end layout-widget-wrapper end widget-span end row end row-wrapper HubSpot Call-to-Action Code [if lte IE 8]><div id="hs-cta-ie-element"><![endif] end HubSpot Call-to-Action Code end layout-widget-wrapper end widget-span end row end row-wrapper end widget-span end row end row-wrapper Why PCT? Proven track record of success: Only CMO to see client’s cell therapy product receive approval from the FDA for commercial sale Unparalleled Cell Therapy Development and Manufacturing Expertise More than 130 employees—including more than 15 PhDs—offer deep and diverse therapeutic platform experience in the areas of immunotherapy, cell-based gene therapy, hematopoietic replacement and tissue repair/regeneration to PCT. 
Cil Textiles Pvt Ltd	 450 Dedicated employess Tents Jeep Hoods Horse Blankets Tarpaulins Canvas Bags Artist Canvas /row /container /home-wrap Footer widget area 1 /span_3 Footer widget area 2 Get In Touch 35/2 Sheelnath Camp, Near Kulkarni Bhatta, Dargawali Galli, Indore - 452003 M.P INDIA info@ciltextiles.com FOR CAREER OPPORTUNITY career@ciltextiles.com /span_3 Footer widget area 3 Shows & Events Visit us at the largest event of Technical Textile Industry in India, TECHNOTEX from 12th - 14th April, 2017 at Bombay Exhibition Centre in Mumbai, INDIA. 
NASHVILLE FINANCIAL SERVICE CENTER	 Read More Mayor Megan Barry's Opportunity NOW Job Portal The Opportunity NOW portal connects youth age 14-24 with employers offering jobs or paid internships, career exploration, resume building, and skill building. 
Seawhite of Brighton Ltd	 Still a family business, our 50+ strong workforce has helped us achieve steady growth every year. 
HDF GROUP	 The level of commitment is extraordinary; all of our 10+ year employees voluntarily opted to leave NCSA at the time of the spin-off, and remain with The HDF Group. 
ALBION WATER	 Related Pages More about Albion Water Customer Services Getting in Touch footer.php Albion Conservation Volunteer Day March 6, 2017 Albion employees volunteered for a day of nature conservation work at Upper Rissington in February. 
TIO LTD	 Every season an 80 strong workforce helps us to hand weed our organic carrot fields. 
SPRINT WASTE SERVICES	 DOCTYPE html PUBLIC "-//W3C//DTD XHTML+RDFa 1.0//EN" "http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd" About | Sprint Waste - The Leader in Solid Waste Management [if lt IE 9&!IEMobile]> <style type="text/css" media="all"> @import url"https://www.sprintwaste.com/sites/all/themes/omega_base/css/omega-base-alpha-default.css?okyabr"; @import url"https://www.sprintwaste.com/sites/all/themes/omega_base/css/omega-base-alpha-default-normal.css?okyabr"; @import url"https://www.sprintwaste.com/sites/all/themes/omega/alpha/css/grid/alpha_default/normal/alpha-default-normal-12.css?okyabr"; <![endif] [if gte IE 9]><! <![endif] Skip to main content Careers Contact News Portal Subscribe Search form Search 281.491.7775 Home About Why Choose Us? Our Mission Ownership Leadership Team Environmental Effort Community Involvement Awards and Accolades Markets Refining Petrochemical Terminals Oilfield Pipeline Commercial Construction Municipal / City Manufacturing Services Waste Hauling Rental Tanks and Containers Specialty Hauling Construction Waste Managed Waste Services Sanitation and Portable Toilets Recyling and Landfill Wastewater Residuals Front-Load Trash Vapor Control Landfill Business Units Sprint Transport BEARS Locations About Us Why Choose Us? Our Mission Ownership Leadership Team Environmental Effort Community Involvement Awards and Accolades About Sprint Waste Services was formed in 2006 with a handful of trucks and 15 employees—the vision of founder Joe Swinbank, who has operated within the refining and petrochemical segments of the waste and trucking industries for more than 40 years. 
PEARCE IT	 Your Name required Your Email required Permalink Gallery World Backup Day Latest News World Backup Day World Backup Day was chosen to be the day before April 1st April Fools in order [...] Permalink Gallery Spooky goings on in your IT Latest News Spooky goings on in your IT Does your IT leave you a little perplexed sometimes? I’m sure I didn’t click that or [...] Permalink Gallery Windows 10 or not to Windows 10, that is the question? Latest News Windows 10 or not to Windows 10, that is the question? With Microsoft launching their latest operating system this month the long awaited Windows 8 replacement is [...] Permalink Gallery Myths about Office 365 and the Cloud Latest News Myths about Office 365 and the Cloud Many employers hit brick walls when it comes to introducing new technology within their business and [...] fusion-row #main 1 Alvin Street Gloucester Gloucestershire GL1 3EH Phone: 01452 222000 Email: hello@pearceit.co.uk Web: www.pearceit.co.uk IT Business Solutions Cloud Drive Log A Ticket My Account Cloud Online Backup Cloud Support Hosted Desktop Internet Services & Broadband Microsoft Office 365 VOIP Telephone Systems Recent Tweets Have you booked? fb.me/3qYbfOHpE 2 days ago #Gloucestershire Trainers, do you need some flexible training space? Try this for size! #Training rooms to rent by… twitter.com/i/web/status/8… 2 weeks ago fusion-columns fusion-row fusion-footer-widget-area Copyright   Pearce IT, all rights reserved. 
MERSETA	 The various industry sectors are covered by five chambers within the merSETA: Metal and engineering Auto manufacturing Motor retail and component manufacturing Tyre manufacturing Plastics industries Together the five sub-sectors comprise approximately 44000 companies, with a workforce of approximately 600000. 
Nityo Infotech Services Pvt Ltd.	 Consulting workforce of 3000+ highly trained project managers, domain experts, and leading-edge technology specialists. 
DEEPINGS SCHOOL	 Read More Latest News View all news Posted on: March Exhibition of Learning Posted on: March School thanks Deeping St James United Charities Posted on: February Deeping Gang Show Posted on: February Y13 Travel and Tourism group visit The Ritz and Shangri-La Hotels Posted on: February Year 9 students showcase their talent! Posted on: January Year 10 enterprise and employability skills day View all news Calendar 22 April Y12 Internal Exams 23 April Y12 Internal Exams 24 April Y12 Internal Exams 25 April Y12 Internal Exams 26 April Y12 Internal Exams 26 April Primary Challenge 27 April Y12 Internal Exams 27 April Y8 Parents' Evening 28 April Y12 Internal Exams 28 April Y11 Silver D0E Practice 29 April Y11 Silver D0E Practice 30 April Y11 Silver D0E Practice View Full Calendar Follow Us On: Twitter Twitter 02.38 PM - 23 February 2017 Due to the weather conditions tonight`s Parents` evening is postponed until next Thursday. 
Ceva Freight India Pvt Ltd	 Over 41,000 dedicated employees, working in 17 regional clusters around the globe, deliver operational excellence - to provide viable answers to the most challenging supply chain questions. 
DRIVE ON TECHNOLOGIES	 <![endif] [if IE 9]> <div class="page-header style=" background: urlhttps://prodrive-technologies.com/wp-content/uploads/2017/02/header_image3.jpg; background-size: cover; background-position: center;" "> <![endif] View More Title on video The Netherlands HQ Germany USA Israel South Korea Hong Kong China Contact Visiting address Science Park Eindhoven 5501 5692 EM Son The Netherlands Phone and email Call us:+31 0 40 267 6200 Mail us: contact@prodrive-technologies.com Postal address PO Box 28030 NL-5602 JA Eindhoven The Netherlands Let us contact you Let us call or email you Url Thank you for your message We will contact you shortly Get route Complete the form to download the file 1-10 10-100 100-1000 1000" >> 1000 Number of employees This field should be left blank Request download Please wait... 
SOLARES ELECTRIC	 And although Solares Electrical is a single-owned company, the credit does not belong to a single individual, but rather to an entire team composed of 40+ proud employees. 
ADVENTURE 212 FITNESS	 Must be CPR/AED certified or be willing to get certification with 60 days of employment. 
LAKE MANAGEMENT SERVICES	 In addition to office staff, LMS,LP employes 6 full-time biologists and more than 25 full-time field technicians. 
CENTRAL SOUTHLAND FREIGHT LTD	 CSF has approximately 35 employee's. 
C W Publishing Group	 1997 Year founded 2 International offices 12 Number of clients 55 Number of employees NEW YORK On the other side of the pond? Visit our usa site Meet the team “We find the hardest things in publishing the easiest things to do…” Dean Citroen and Oren Wolf, founders of the CW Publishing Group Home About CWPG Client Solutions Clients Publications Inside CWPG Working at CWPG Contact Us Terms & Conditions Privacy Policy Careers   2016 CWPublishing Web Development by Lilo London This site uses cookies: Find out more. 
Fertility Specialists of Texas	 Essential Job Functions: Coordinate IVF and IUI cycles for patients as directed by practice physicians Responsible for ensuring all required labs and procedures are completed and documented Document accurately all patient care services in EMR system Triage of patient phone calls and other communications Provide patient counseling and education Ensure quality and accuracy of materials provided to patients Communicate physician orders and instructions to patients Communicate with patients regarding lab results with clear interpretation and explanation Review patient charts for medical issues which may require evaluation before proceeding with IVF cycle Communicate with all staff, clinical and administrative in order to provide high-quality patient care Maintain a safe and clean environment Adhere to all processes, SOP’s state and federal regulations Understand and provide cost effective care Understand and use Incident Reporting application as necessary Complete all required training’s as designated Maintain active licensure and current certifications as applicable Maintain professional and technical knowledge by attending educational workshops and reviewing professional publications Additional Job Functions: Assist in OR/PACU Coordination of services with affiliate providers Participate in daily/weekly meetings for review of patients status Complete paperwork for billing Conduct medication/injection instructions in individual settings Cover weekend/holiday schedules as required Education and/or Experience: Graduate of an accredited school of nursing Experience as an IVF Coordinator Position, Licensure and Certification Requirements: Current RN for the state of Texas without restriction Current CPR certification, or acquire within 1 month of employment Must have the ability to manage multiple priorities in a fast-paced, team-oriented environment .et_pb_text 2 Medical Assistants Location: Dallas Job Type: Part-time Salary: $12/hour Location: Grapevine this position will move to Southlake once the new office opens Job Type: Full-Time Salary: $12/hour Purpose of Job: Assist physician and ancillary ANRP, CNM & PA providers, as needed, with patient examination and treatment enabling them to provide cost effective and efficient quality care. 
BOB TURNER CRANE SERVICE	 Our crane operators are members of the Operating Engineers Local 12 and longtime employees, whose experience ranges from 10-35 years each. 
Brisdoc Healthcare Services	 2 Your Locally Run, GP Out of Hours Service END REVOLUTION SLIDER Our Services Urgent Care Services Learn more Primary Care Services Learn more Homeless Health Service Learn more Acute GP Team Learn more Latest News _________________________ Start Standard Article _________________________ BrisDoc Sleep Out 2017 On 19th January 2017 20th January 2017 A number of BrisDoc employees will be swapping the comforts of their own beds to spend one night sleeping on the streets help raise money in aid of Crisis Centre Ministries and highlight the challenges faced by homeless people out on the streets every single day. 
Wonderland Developmental Center	 Benefits: Medical insurance – including health, dental, vision & hearing 401k retirement plan with employer match Section 125 Cafeteria Plan, POP and FSA Generous paid-time off: 13+ paid holidays, including last week in December PTO starting at 12 days annually Bereavement Leave and Jury Duty Leave Current job openings: Special Educator Speech-Language Pathologist Thoughts from Wonderland staff: “I love the flexibility in scheduling that Wonderland provides. 
IMC NORTH AMERICA INC.	 Nearly 12000000 Americans or 9 percent of the workforce are employed directly in manufacturing. 
C2TACTICAL	 THE 9MM PACKAGE BUY NOW - $149.00 Discounted Shooter Fee $10 per visit 10% off select merchandise Good for 1 year on date of purchase BUY NOW THE 5.56 PACKAGE BUY NOW - $489.95 Free Shooting Time Free handgun rentals and 1/2 off rifle and a shotgun rentals Advanced Lane Reservations 15% off Range Ammunition Purchase one new firearm at Member Discount up to $100 savings 50% off one class up to $100 savings 10% off select merchandise Free CCW class with purchase of a discounted intro class at $30 OR One Free Class choose 1 of the following: Any introductory course for Rifle, Shotgun or a Pistol Glock Maintenance Course 1 hour of Private Instruction Good for 1 year on date of purchase BUY NOW THE SQUAD PACKAGE BUY NOW - $699.95 The package is designed for you and 1 additional person to start Free range time for an entire year Advanced Lane Reservations Free handgun rentals and 1/2 off rifle and a shotgun rentals 15% off Range Ammunition 10% off select merchandise Additional members $99 Max 8 Good for 1 year on date of purchase BUY NOW THE BATTALION PACKAGE BUY NOW - $1289.00 Designed for Corporations employees all working for the same company The package is designed for you and 4 additional employees to start Free range time for an entire year Free handgun rentals and 1/2 off rifle and a shotgun rentals Advanced Lane Reservations 15% off Range Ammunition 10% off select retail merchandise in the store Use of the corporate conference room and Tactical VIP Lounge by appointment excludes pre-planned events Additional members $99 Max 20 Good for 1 year on date of purchase BUY NOW THE GENERAL PACKAGE BUY NOW - $3999.95 Free shooting time Free handgun rentals and 1/2 off rifle and a shotgun rentals Advanced lane reservation 15% off Range Ammunition Purchase one new firearm per month at Member Discount up to $100 savings 50% off one class up to $100 10% off select retail merchandise in the store Free CCW class with purchase of a discounted Intro class at $30 OR One Free Class choose 1 of the following: Any introductory course for Rifle, Shotgun or a Pistol Glock Maintenance Course 1 hour of Private Instruction Good for 1 year from date of purchase BUY NOW SPECIAL PROMOTIONS I really like C2 tactical's indoor range. 
